block_end_hr,feature,norm_importance
24,SIQ_delta,0.10406350589076896
24,deltameanrat,0.057243961507456115
24,deltapctrat,0.049118423200944145
24,thetakurtosis,0.04857666706575711
24,deltaminrat,0.04454391750260576
24,alphakurtosis,0.04420062854494167
24,SIQ,0.043661099637418745
24,lv_l20,0.04155997224551169
24,SIQ_theta,0.04110670142626545
24,BCI,0.036456250063610404
24,deltakurtosis,0.031773693833962335
24,lv_l10,0.02985865191318342
24,betapctrat,0.027459879735579566
24,sdspectkurt,0.025096103422457335
24,betakurtosis,0.024118996253978627
36,SIQ_delta,0.10330008841773082
36,deltameanrat,0.06129120465490764
36,deltapctrat,0.05046389229168282
36,deltaminrat,0.04720935071152897
36,SIQ,0.043863629062500874
36,BCI,0.0438543006005849
36,SIQ_theta,0.04344239049023048
36,lv_l20,0.0414724321840278
36,thetakurtosis,0.03905024879687933
36,alphakurtosis,0.03514516163619107
36,lv_l10,0.03151549680026709
36,deltakurtosis,0.02946461083601198
36,betapctrat,0.025594813390477256
36,sdspectkurt,0.02546469229725493
36,avgspectent,0.024690207526084848
48,SIQ_delta,0.10239947588087862
48,deltameanrat,0.06365869297304479
48,deltapctrat,0.05111393065564722
48,deltaminrat,0.05037470448806837
48,BCI,0.04912203414395905
48,SIQ,0.043636079604688946
48,SIQ_theta,0.04349009550349659
48,lv_l20,0.041779207260936375
48,thetakurtosis,0.03472921408048839
48,lv_l10,0.03241772701992688
48,alphakurtosis,0.031045491814466763
48,deltakurtosis,0.028947034428324716
48,avgspectent,0.02599578313159066
48,sdspectkurt,0.025169030955438206
48,betapctrat,0.02321449827110031
60,SIQ_delta,0.10167378390235712
60,deltameanrat,0.06598330813339917
60,deltaminrat,0.05359752557657854
60,BCI,0.05298401119546331
60,deltapctrat,0.05193655434834182
60,SIQ,0.043453304811789176
60,SIQ_theta,0.04299255533335645
60,lv_l20,0.04196574270275297
60,lv_l10,0.0331215298164814
60,thetakurtosis,0.032148621529008256
60,deltakurtosis,0.02873823260327012
60,alphakurtosis,0.028251777022314354
60,avgspectent,0.027083458664202545
60,sdspectkurt,0.02492483304304206
60,betapctrat,0.02162625977068047
72,SIQ_delta,0.10084133140548229
72,deltameanrat,0.0676551899820281
72,BCI,0.05581927307605687
72,deltaminrat,0.05554020129765134
72,deltapctrat,0.052287781335052616
72,SIQ,0.043559787153159515
72,SIQ_theta,0.04317885387344968
72,lv_l20,0.04149986293730905
72,lv_l10,0.033245026541188154
72,thetakurtosis,0.03040708802987694
72,deltakurtosis,0.0288390901150475
72,avgspectent,0.027715954361420186
72,alphakurtosis,0.02662741893706086
72,sdspectkurt,0.025168458074154857
72,betapctrat,0.02053345757852727
84,SIQ_delta,0.10015316108812422
84,deltameanrat,0.06927713784148373
84,BCI,0.06054841614064721
84,deltaminrat,0.05818905194924852
84,deltapctrat,0.05410693859308503
84,SIQ,0.043664079301473625
84,SIQ_theta,0.04325685539266961
84,lv_l20,0.04076038534687607
84,lv_l10,0.03271772072416157
84,deltakurtosis,0.02899665960311952
84,thetakurtosis,0.028949747990674755
84,avgspectent,0.027600842152602924
84,alphakurtosis,0.02560631070256112
84,sdspectkurt,0.024398556390887616
84,SIQ_alpha,0.022590057667522367
96,SIQ_delta,0.10402555215872206
96,BCI,0.07666832163846547
96,deltameanrat,0.07494745545247855
96,deltaminrat,0.07057682653776563
96,deltapctrat,0.06113307904856898
96,SIQ,0.04057006051235363
96,lv_l20,0.03885028104779124
96,SIQ_theta,0.037688104932347505
96,SIQ_alpha,0.03556858651760371
96,thetaalphamin,0.029933669190683597
96,thetakurtosis,0.02865193725306503
96,deltakurtosis,0.028273554025423326
96,lv_l10,0.027051509438773463
96,alphakurtosis,0.02318818842979464
96,meanlogentropy,0.022312742115666483
108,SIQ_delta,0.10881135988858129
108,BCI,0.08830533526480532
108,deltaminrat,0.07894032572216102
108,deltameanrat,0.0782541335900231
108,deltapctrat,0.06493718789210955
108,lv_l20,0.04271374630839149
108,SIQ_alpha,0.04202848652507399
108,SIQ,0.036465872133423935
108,thetaalphamin,0.032470522275810924
108,SIQ_theta,0.03226151567644436
108,thetakurtosis,0.029731583002347108
108,alphakurtosis,0.024315925597766564
108,deltakurtosis,0.024217788276230934
108,lv_l10,0.023927750327900205
108,meanlogentropy,0.022801965410087978
120,SIQ_delta,0.10144850347997868
120,BCI,0.09352128301929613
120,deltameanrat,0.06647483552008007
120,deltaminrat,0.06502950668616304
120,deltapctrat,0.06321834019601807
120,SIQ_alpha,0.047862603300818374
120,lv_l20,0.04181516632724818
120,SIQ,0.04068213970355695
120,thetakurtosis,0.030815095883415588
120,SIQ_theta,0.027742448896488515
120,deltakurtosis,0.027695449928865894
120,thetaalphamin,0.027685199688007256
120,alphakurtosis,0.026450578796727145
120,meanlogentropy,0.02552964262679135
120,lv_l10,0.024303250561349594
